speed,weight,dead,airbag,seatbelt,frontal,sex,ageOFocc,yearacc,yearVeh,abcat,occRole,deploy,injSeverity
40-54,72.0059999991208,alive,airbag,belted,0,f,29,1999,1991,nodeploy,driver,0,1
40-54,4.95999999996275,alive,airbag,belted,1,f,81,1999,1992,deploy,driver,1,3
10-24,6.96399999997811,alive,none,none,0,m,55,1999,1986,unavail,driver,0,3
10-24,1.05699999998615,alive,airbag,belted,1,m,27,1999,1992,deploy,driver,1,0
10-24,1.05699999998615,dead,none,belted,1,m,24,1999,1992,unavail,pass,0,4
10-24,787.879999995232,alive,none,belted,1,f,30,1999,1985,unavail,driver,0,0
10-24,787.879999995232,alive,none,belted,1,m,16,1999,1985,unavail,pass,0,0
40-54,4.95999999996275,alive,airbag,belted,1,f,22,1999,1999,deploy,driver,1,3
40-54,4.95999999996275,alive,airbag,belted,1,m,24,1999,1999,deploy,pass,1,2
40-54,4.95999999996275,alive,none,belted,1,m,41,1999,1983,unavail,driver,0,3
10-24,4.95999999996275,alive,airbag,belted,1,m,82,1999,1995,deploy,driver,1,2
10-24,8.85699999995995,alive,none,none,0,m,19,1999,1994,unavail,driver,0,3
10-24,8.85699999995995,alive,none,belted,0,f,19,1999,1994,unavail,pass,0,2
40-54,5.72799999994459,dead,none,belted,0,f,41,1999,1990,unavail,driver,0,4
25-39,5.72799999994459,alive,none,belted,1,m,23,1999,1990,unavail,driver,0,1
40-54,4.95999999996275,alive,airbag,belted,1,f,36,1999,1998,deploy,driver,1,2
55+,0.859999999993306,dead,airbag,belted,0,m,23,1999,1991,nodeploy,driver,0,4
40-54,0.859999999993306,alive,airbag,belted,1,m,36,1999,1997,deploy,driver,1,1
25-39,8.86299999989569,alive,none,none,0,m,20,1999,1985,unavail,driver,0,2
25-39,8.86299999989569,alive,none,none,0,m,44,1999,1985,unavail,pass,0,3
25-39,8.86299999989569,alive,none,none,1,m,37,1999,1989,unavail,driver,0,1
10-24,92.9829999990761,alive,none,belted,1,f,63,1999,1990,unavail,driver,0,1
10-24,339.579999998212,alive,none,belted,0,m,32,1999,1987,unavail,driver,0,1
10-24,339.579999998212,alive,none,belted,0,m,53,1999,1987,unavail,pass,0,2
25-39,4.95999999996275,alive,airbag,belted,1,f,39,1999,1998,deploy,driver,1,1
10-24,4.95999999996275,alive,airbag,belted,0,m,57,1999,1999,deploy,driver,1,3
10-24,30.4509999998845,alive,airbag,belted,0,f,33,1999,1997,nodeploy,driver,0,1
10-24,30.4509999998845,alive,airbag,belted,1,m,61,1999,1996,deploy,driver,1,0
40-54,30.4509999998845,alive,airbag,belted,0,f,44,1999,1999,nodeploy,driver,0,1
25-39,98.5309999994934,alive,none,belted,1,f,50,1999,1987,unavail,driver,0,1
25-39,6.96399999997811,alive,none,belted,1,f,23,1999,1990,unavail,driver,0,1
25-39,6.96399999997811,alive,none,belted,1,f,33,1999,1990,unavail,pass,0,3
55+,1.04199999998673,alive,none,belted,0,m,27,1999,1984,unavail,driver,0,2
25-39,65.7259999997914,alive,airbag,belted,1,f,19,1999,1996,deploy,driver,1,2
25-39,6.96399999997811,alive,none,none,1,f,57,1999,1988,unavail,driver,0,3
25-39,6.96399999997811,alive,none,none,1,m,29,1999,1988,unavail,driver,0,3
25-39,6.96399999997811,alive,none,none,1,f,47,1999,1981,unavail,driver,0,3
10-24,6.96399999997811,alive,airbag,belted,1,m,30,1999,1998,deploy,driver,1,1
40-54,5.72799999994459,dead,airbag,none,1,m,91,1999,1997,deploy,driver,1,4
40-54,5.72799999994459,dead,airbag,belted,1,f,81,1999,1997,deploy,pass,1,3
25-39,202.404999999329,alive,none,none,1,f,79,1999,1982,unavail,driver,0,2
10-24,739.197999998927,alive,none,belted,1,m,38,1999,1993,unavail,driver,0,0
40-54,4.95999999996275,alive,airbag,belted,1,m,47,1999,1998,deploy,driver,1,3
40-54,4.95999999996275,alive,airbag,belted,1,m,39,1999,1998,deploy,pass,1,2
25-39,13.9489999999059,alive,none,none,1,m,39,1999,1993,unavail,driver,0,3
25-39,5.72799999994459,alive,none,belted,1,m,23,1999,1989,unavail,driver,0,2
25-39,5.72799999994459,alive,none,belted,1,m,17,1999,1989,unavail,pass,0,2
55+,5.72799999994459,dead,airbag,belted,0,f,36,1999,1999,deploy,driver,1,4
10-24,21.3829999999143,alive,airbag,belted,0,m,28,1999,1999,nodeploy,driver,0,0
10-24,21.3829999999143,alive,airbag,belted,1,f,68,1999,1999,nodeploy,driver,0,1
10-24,69.1889999993145,alive,airbag,belted,1,m,25,1999,1997,deploy,driver,1,1
25-39,69.1889999993145,alive,airbag,belted,0,f,21,1999,1995,nodeploy,driver,0,1
10-24,252.683999998495,alive,airbag,belted,1,f,25,1999,1999,deploy,driver,1,0
10-24,252.683999998495,alive,none,belted,0,m,18,1999,1990,unavail,driver,0,1
10-24,6.96399999997811,alive,none,none,1,m,18,1999,1989,unavail,driver,0,1
10-24,24.780999999959,alive,airbag,belted,1,m,64,1999,1997,deploy,driver,1,0
10-24,24.780999999959,alive,airbag,belted,1,f,81,1999,1997,deploy,pass,1,2
10-24,80.1849999995902,alive,none,belted,1,f,54,1999,1985,unavail,driver,0,1
10-24,255.507999999449,alive,none,none,1,f,35,1999,1981,unavail,driver,0,1
40-54,5.72799999994459,alive,airbag,belted,0,f,72,1999,1996,deploy,driver,1,3
40-54,5.72799999994459,dead,airbag,belted,0,f,72,1999,1996,nodeploy,pass,0,4
40-54,4.95999999996275,alive,airbag,belted,1,m,56,1999,1998,deploy,driver,1,3
55+,4.95999999996275,alive,airbag,belted,0,m,29,1999,2000,nodeploy,driver,0,1
55+,4.95999999996275,alive,airbag,belted,0,m,37,1999,2000,nodeploy,pass,0,3
40-54,4.95999999996275,alive,airbag,belted,1,m,55,1999,1995,deploy,driver,1,3
40-54,4.95999999996275,alive,airbag,belted,1,f,50,1999,1995,deploy,pass,1,1
10-24,272.195999998599,alive,airbag,belted,1,f,25,1999,1995,deploy,driver,1,2
10-24,6.99599999998463,alive,none,belted,1,f,24,1999,1992,unavail,driver,0,0
10-24,6.99599999998463,alive,none,belted,1,f,20,1999,1992,unavail,pass,0,1
40-54,183.841999998316,alive,none,belted,1,m,26,1999,1992,unavail,driver,0,2
25-39,183.841999998316,alive,none,belted,0,m,53,1999,1980,unavail,driver,0,0
25-39,183.841999998316,alive,none,belted,0,f,78,1999,1980,unavail,pass,0,1
10-24,671.403999999166,alive,airbag,belted,1,m,36,1999,1995,nodeploy,driver,0,0
10-24,671.403999999166,alive,none,belted,0,f,47,1999,1988,unavail,driver,0,2
10-24,671.403999999166,alive,none,belted,0,m,38,1999,1988,unavail,pass,0,0
55+,22.5529999998398,alive,airbag,belted,1,m,37,1999,1997,deploy,driver,1,2
25-39,72.9769999999553,alive,none,belted,1,f,24,1999,1986,unavail,driver,0,1
25-39,0,alive,none,belted,0,f,20,1999,1988,unavail,driver,0,1
10-24,0,alive,airbag,belted,1,m,45,1999,1998,deploy,driver,1,0
25-39,0,alive,airbag,belted,1,m,18,1999,1999,deploy,driver,1,2
10-24,0,alive,airbag,belted,1,f,52,1999,1998,deploy,driver,1,1
40-54,0,alive,airbag,belted,1,m,26,1999,2000,deploy,driver,1,2
40-54,0,alive,airbag,belted,1,m,23,1999,2000,deploy,pass,1,1
10-24,994.241999998689,alive,airbag,none,0,f,23,1999,1996,nodeploy,driver,0,2
10-24,875.480999998748,alive,none,belted,1,m,37,1999,1985,unavail,driver,0,0
10-24,5397.21799999475,alive,airbag,belted,1,m,55,1999,1995,nodeploy,driver,0,1
25-39,5397.21799999475,alive,none,belted,1,f,33,1999,1984,unavail,driver,0,1
25-39,5397.21799999475,alive,none,belted,1,m,16,1999,1984,unavail,pass,0,1
55+,21.8899999998976,alive,none,none,1,m,41,1999,1984,unavail,driver,0,3
25-39,21.8899999998976,alive,none,none,0,m,38,1999,1990,unavail,driver,0,3
25-39,21.8899999998976,dead,airbag,belted,1,f,64,1999,1991,deploy,driver,1,3
10-24,20.530999999959,alive,none,belted,1,m,24,1999,1992,unavail,driver,0,3
25-39,1359.41499999166,alive,none,belted,1,m,45,1999,1986,unavail,driver,0,1
25-39,55.9989999998361,alive,none,belted,1,f,16,1999,1987,unavail,driver,0,3
10-24,889.122999995947,alive,none,none,1,f,18,1999,1986,unavail,driver,0,2
10-24,1150.61299999058,alive,none,belted,0,m,24,1999,1989,unavail,driver,0,0
10-24,1150.61299999058,alive,none,belted,0,m,27,1999,1989,unavail,pass,0,0
10-24,54.5989999999292,alive,airbag,belted,1,m,69,1999,1997,deploy,driver,1,3
10-24,54.5989999999292,alive,none,belted,0,m,61,1999,1985,unavail,driver,0,3
55+,36.5949999997392,alive,none,none,1,f,23,1999,1987,unavail,driver,0,3
55+,36.5949999997392,alive,none,none,1,m,31,1999,1987,unavail,pass,0,3
10-24,190.548999998719,alive,airbag,belted,0,m,20,1999,1996,deploy,driver,1,2
10-24,190.548999998719,alive,none,belted,1,f,27,1999,1987,unavail,driver,0,2
25-39,552.428999997675,alive,airbag,belted,0,m,27,1999,1990,nodeploy,driver,0,1
10-24,1196.67499999702,alive,airbag,none,1,m,19,1999,1995,nodeploy,driver,0,1
40-54,48.7749999999069,alive,airbag,none,1,m,28,1999,1999,deploy,driver,1,3
40-54,48.7749999999069,alive,airbag,none,1,m,25,1999,1999,deploy,pass,1,1
10-24,48.7749999999069,alive,airbag,belted,1,f,22,1999,1998,deploy,driver,1,3
25-39,32.6909999996424,alive,none,belted,1,f,16,1999,1989,unavail,driver,0,3
40-54,32.6909999996424,alive,none,none,1,m,38,1999,1986,unavail,driver,0,3
40-54,27.6649999998044,alive,none,belted,1,f,29,1999,1989,unavail,driver,0,3
40-54,27.6649999998044,alive,none,belted,1,f,30,1999,1989,unavail,pass,0,1
25-39,22.1739999998827,alive,none,none,0,f,55,1999,1985,unavail,driver,0,3
25-39,22.1739999998827,alive,none,belted,1,f,16,1999,1987,unavail,driver,0,0
25-39,22.1739999998827,alive,none,none,1,f,16,1999,1987,unavail,pass,0,1
10-24,1051.41399998963,alive,airbag,belted,1,f,24,1999,1999,nodeploy,driver,0,0
10-24,1051.41399998963,alive,airbag,belted,1,f,32,1999,1996,deploy,driver,1,0
10-24,1051.41399998963,alive,airbag,belted,1,m,35,1999,1996,deploy,pass,1,0
40-54,10.2659999999451,alive,none,none,1,f,31,1999,1986,unavail,driver,0,3
40-54,816.646999999881,alive,none,belted,1,m,21,1999,1984,unavail,driver,0,2
25-39,816.646999999881,alive,none,belted,1,m,51,1999,1980,unavail,driver,0,2
25-39,20.530999999959,alive,none,none,1,m,27,1999,1982,unavail,driver,0,3
10-24,1597.89199998975,alive,none,none,1,m,38,1999,1986,unavail,driver,0,2
55+,20.530999999959,alive,none,none,1,m,78,1999,1986,unavail,driver,0,3
55+,20.530999999959,alive,airbag,belted,1,m,25,1999,1998,deploy,driver,1,2
10-24,314.033999998122,alive,airbag,belted,1,f,21,1999,1997,deploy,driver,1,2
40-54,13.6439999999711,alive,none,none,1,m,27,1999,1991,unavail,driver,0,3
25-39,54.2019999995828,alive,airbag,none,1,f,18,1999,1995,deploy,driver,1,3
10-24,860.588999994099,alive,none,belted,0,f,46,1999,1988,unavail,driver,0,2
10-24,39.5799999996088,alive,airbag,belted,1,f,69,1999,1997,deploy,driver,1,3
10-24,982.195999994874,alive,none,belted,1,m,32,1999,1986,unavail,driver,0,0
10-24,982.195999994874,alive,none,belted,1,m,25,1999,1986,unavail,pass,0,0
25-39,20.530999999959,alive,none,belted,0,f,81,1999,1985,unavail,driver,0,3
25-39,20.530999999959,alive,none,belted,0,m,81,1999,1985,unavail,pass,0,3
10-24,20.530999999959,alive,airbag,belted,1,m,21,1999,1989,deploy,driver,1,0
25-39,331.221999999136,alive,none,belted,0,m,27,1999,1988,unavail,driver,0,1
25-39,331.221999999136,alive,none,belted,0,f,24,1999,1988,unavail,pass,0,1
10-24,331.221999999136,alive,airbag,belted,1,m,24,1999,1997,nodeploy,driver,0,0
10-24,331.221999999136,alive,airbag,belted,1,f,27,1999,1997,nodeploy,pass,0,0
10-24,688.600999996066,alive,none,belted,1,m,34,1999,1988,unavail,driver,0,0
25-39,20.530999999959,alive,none,belted,0,m,18,1999,1984,unavail,driver,0,1
25-39,20.530999999959,alive,none,belted,0,m,18,1999,1984,unavail,pass,0,3
25-39,20.530999999959,alive,airbag,belted,0,f,33,1999,1995,nodeploy,driver,0,3
25-39,20.530999999959,alive,airbag,belted,1,f,41,1999,1994,deploy,driver,1,2
25-39,20.530999999959,alive,airbag,belted,1,f,68,1999,1994,deploy,pass,1,3
10-24,2061.07999998331,alive,none,belted,1,m,33,1999,1977,unavail,driver,0,0
10-24,3768.41799998283,alive,airbag,belted,1,m,25,1999,1996,nodeploy,driver,0,0
10-24,3768.41799998283,alive,airbag,belted,1,f,21,1999,1996,nodeploy,pass,0,1
25-39,31.7749999999069,alive,none,none,1,m,53,1999,1989,unavail,driver,0,3
10-24,31.7749999999069,alive,airbag,belted,0,m,35,1999,1997,nodeploy,driver,0,1
10-24,1804.00399999321,alive,none,belted,0,m,28,1999,1994,unavail,driver,0,0
10-24,1804.00399999321,alive,none,belted,0,m,18,1999,1994,unavail,pass,0,1
40-54,31.1829999999609,alive,none,belted,0,m,19,1999,1989,unavail,driver,0,3
40-54,31.1829999999609,alive,none,none,0,m,17,1999,1989,unavail,pass,0,3
40-54,31.1829999999609,alive,airbag,belted,1,f,58,1999,1991,deploy,driver,1,3
40-54,31.1829999999609,alive,none,belted,1,m,65,1999,1991,unavail,pass,0,NA
10-24,10.7659999999451,alive,airbag,belted,0,f,20,1999,1987,nodeploy,driver,0,0
10-24,10.7659999999451,alive,airbag,belted,1,f,33,1999,1990,deploy,driver,1,3
10-24,17.8689999999478,alive,none,belted,1,m,16,1999,1989,unavail,driver,0,2
25-39,17.8689999999478,alive,airbag,belted,1,f,33,1999,1998,deploy,driver,1,3
25-39,394.03599999845,alive,airbag,belted,1,m,30,1999,1997,deploy,driver,1,2
10-24,84.7439999999478,alive,none,belted,1,f,17,1999,1991,unavail,driver,0,3
10-24,84.7439999999478,alive,none,belted,1,m,16,1999,1991,unavail,pass,0,2
10-24,837.542999997735,alive,none,belted,1,m,27,1999,1981,unavail,driver,0,0
10-24,837.542999997735,alive,airbag,belted,0,m,61,1999,1998,nodeploy,driver,0,0
10-24,297.032999999821,alive,airbag,belted,1,f,61,1999,1995,nodeploy,driver,0,0
10-24,297.032999999821,alive,airbag,belted,1,m,35,1999,1996,deploy,driver,1,2
40-54,20.530999999959,alive,none,none,1,m,43,1999,1988,unavail,driver,0,3
25-39,3479.25799998641,alive,none,belted,1,m,16,1999,1989,unavail,driver,0,0
25-39,13.1909999999916,alive,none,belted,0,m,43,1999,1986,unavail,driver,0,0
25-39,13.1909999999916,alive,none,none,0,f,35,1999,1986,unavail,pass,0,3
25-39,13.1909999999916,alive,airbag,belted,1,m,35,1999,1998,deploy,driver,1,0
25-39,10.2659999999451,alive,none,none,1,m,68,1999,1963,unavail,driver,0,3
25-39,63.8029999998398,alive,none,none,1,m,31,1999,1988,unavail,driver,0,3
10-24,732.312999993563,alive,none,belted,1,m,53,1999,1988,unavail,driver,0,1
10-24,732.312999993563,alive,airbag,none,0,m,29,1999,1999,nodeploy,driver,0,1
10-24,732.312999993563,alive,airbag,belted,0,f,19,1999,1999,nodeploy,pass,0,1
10-24,32.4949999996461,alive,none,none,1,f,19,1999,1989,unavail,driver,0,3
10-24,32.4949999996461,alive,none,none,1,f,46,1999,1978,unavail,driver,0,2
25-39,32.4949999996461,alive,none,belted,1,m,50,1999,1987,unavail,driver,0,1
25-39,32.4949999996461,alive,none,belted,1,f,48,1999,1987,unavail,pass,0,1
55+,20.530999999959,alive,none,none,1,m,17,1999,1989,unavail,driver,0,3
55+,20.530999999959,alive,airbag,belted,1,m,41,1999,1995,deploy,driver,1,3
55+,20.530999999959,alive,airbag,belted,1,f,34,1999,1995,deploy,pass,1,3
25-39,25.9129999999423,alive,airbag,belted,1,f,49,1999,1997,deploy,driver,1,3
25-39,25.9129999999423,alive,none,belted,1,m,18,1999,1977,unavail,driver,0,0
25-39,25.9129999999423,alive,none,none,1,f,18,1999,1977,unavail,pass,0,2
25-39,20.530999999959,alive,none,none,1,m,52,1999,1986,unavail,driver,0,3
10-24,677.901999995112,alive,none,none,1,f,17,1999,1995,unavail,driver,0,0
10-24,677.901999995112,alive,airbag,belted,0,m,32,1999,1997,nodeploy,driver,0,1
25-39,51.3279999997467,alive,none,belted,1,f,77,1999,1965,unavail,driver,0,3
10-24,51.3279999997467,alive,none,none,1,m,59,1999,1988,unavail,driver,0,1
10-24,20.530999999959,alive,airbag,belted,1,m,46,1999,1993,deploy,driver,1,1
10-24,44.7479999996722,alive,airbag,belted,1,m,29,1999,1999,deploy,driver,1,0
10-24,3556.99599999189,alive,airbag,belted,1,m,17,1999,1998,deploy,driver,1,0
55+,10.2659999999451,alive,airbag,none,1,m,22,1999,1995,deploy,driver,1,3
25-39,1189.69899998605,alive,none,none,1,m,65,1999,1988,unavail,driver,0,2
10-24,1539.5869999975,alive,none,belted,1,f,37,1999,1985,unavail,driver,0,0
25-39,24.4989999998361,alive,none,none,1,m,33,1999,1981,unavail,driver,0,3
10-24,24.4989999998361,alive,airbag,belted,1,m,24,1999,1990,deploy,driver,1,1
10-24,24.4989999998361,alive,none,belted,1,f,22,1999,1990,unavail,pass,0,1
40-54,20.530999999959,alive,none,belted,1,m,60,1999,1994,unavail,driver,0,3
25-39,1117.0379999876,alive,airbag,belted,0,m,27,1999,1996,nodeploy,driver,0,2
10-24,4190.8789999485,alive,airbag,belted,0,m,79,1999,1995,nodeploy,driver,0,0
10-24,17.8689999999478,alive,none,belted,1,m,38,1999,1989,unavail,driver,0,2
10-24,17.8689999999478,alive,airbag,none,0,f,25,1999,1998,deploy,driver,1,3
40-54,25.6149999999907,dead,none,none,1,m,19,1999,1990,unavail,driver,0,4
40-54,25.6149999999907,alive,airbag,none,1,m,22,1999,1993,deploy,driver,1,3
40-54,25.6149999999907,alive,none,none,1,m,23,1999,1993,unavail,pass,0,3
10-24,1103.44399999082,alive,none,belted,1,f,51,1999,1988,unavail,driver,0,1
25-39,17.8689999999478,alive,none,belted,0,m,83,1999,1978,unavail,driver,0,3
10-24,17.8689999999478,alive,airbag,belted,1,f,44,1999,1999,deploy,driver,1,3
10-24,558.018999993801,alive,airbag,belted,1,f,52,1999,1996,deploy,driver,1,1
10-24,558.018999993801,alive,none,belted,1,f,26,1999,1996,unavail,pass,0,2
10-24,2093.56199997663,alive,airbag,none,1,m,29,1999,1995,deploy,driver,1,1
55+,20.530999999959,alive,none,belted,1,m,50,1999,1994,unavail,driver,0,3
10-24,20.530999999959,alive,none,belted,1,m,17,1999,1973,unavail,driver,0,0
10-24,20.530999999959,alive,none,belted,1,f,17,1999,1973,unavail,pass,0,3
25-39,64.0379999997094,dead,airbag,none,1,f,36,1999,1995,deploy,driver,1,4
25-39,1119.54799999297,alive,airbag,belted,1,f,37,1999,1998,deploy,driver,1,0
25-39,1119.54799999297,alive,none,none,1,f,18,1999,1986,unavail,driver,0,1
25-39,0,alive,airbag,belted,1,f,38,1999,1999,deploy,driver,1,2
55+,6.99099999997998,alive,airbag,belted,0,f,61,1999,1991,nodeploy,driver,0,3
10-24,4.49099999997998,alive,none,none,1,f,34,1999,1982,unavail,driver,0,3
10-24,4.49099999997998,alive,none,belted,1,f,18,1999,1987,unavail,driver,0,1
10-24,4.49099999997998,alive,none,belted,1,m,21,1999,1987,unavail,pass,0,2
25-39,203.866999998689,alive,airbag,belted,0,f,55,1999,1997,nodeploy,driver,0,1
25-39,203.866999998689,alive,none,belted,1,f,37,1999,1990,unavail,driver,0,1
25-39,5.23999999999069,alive,airbag,none,0,f,51,1999,1997,deploy,driver,1,1
25-39,5.23999999999069,alive,airbag,belted,0,f,33,1999,1997,deploy,pass,1,3
25-39,5.23999999999069,alive,none,belted,1,f,38,1999,1982,unavail,driver,0,3
55+,3.69399999998859,dead,none,none,0,m,17,1999,1990,unavail,driver,0,4
55+,3.69399999998859,alive,none,belted,1,m,41,1999,1990,unavail,driver,0,3
10-24,5.84599999996135,alive,airbag,belted,1,m,55,1999,1995,deploy,driver,1,3
40-54,5.84599999996135,alive,none,none,1,m,28,1999,1978,unavail,driver,0,3
10-24,4.70599999994738,alive,none,belted,1,m,18,1999,1991,unavail,driver,0,0
10-24,4.70599999994738,alive,none,none,1,m,18,1999,1991,unavail,pass,0,3
10-24,4.49099999997998,alive,none,none,1,f,41,1999,1992,unavail,driver,0,3
25-39,3.88399999999092,alive,airbag,none,1,m,35,1999,1999,deploy,driver,1,3
10-24,119.995999999344,alive,airbag,none,1,f,29,1999,1993,nodeploy,driver,0,2
10-24,119.995999999344,alive,airbag,belted,1,m,46,1999,1993,nodeploy,driver,0,1
25-39,38.6229999996722,alive,none,belted,1,f,45,1999,1986,unavail,driver,0,3
25-39,4.49099999997998,alive,airbag,belted,1,m,19,1999,1994,deploy,driver,1,3
25-39,4.49099999997998,alive,none,belted,1,f,20,1999,1994,unavail,pass,0,3
10-24,18.4129999999423,alive,airbag,belted,1,m,73,1999,1993,nodeploy,driver,0,0
1-9km/h,343.597999997437,alive,airbag,belted,0,f,48,1999,1999,nodeploy,driver,0,0
10-24,110.571999999695,alive,none,belted,1,f,46,1999,1991,unavail,driver,0,1
25-39,98.6359999999404,alive,airbag,belted,0,m,75,1999,1997,nodeploy,driver,0,0
25-39,98.6359999999404,alive,none,belted,1,m,22,1999,1988,unavail,driver,0,1
10-24,360.223999999464,alive,none,belted,1,f,70,1999,1990,unavail,driver,0,1
10-24,360.223999999464,alive,none,belted,1,f,72,1999,1983,unavail,driver,0,1
10-24,63.780999999959,alive,airbag,belted,0,f,54,1999,1999,nodeploy,driver,0,0
10-24,63.780999999959,alive,airbag,belted,0,m,67,1999,1999,nodeploy,pass,0,2
1-9km/h,63.780999999959,alive,none,belted,1,m,45,1999,1986,unavail,driver,0,0
1-9km/h,63.780999999959,alive,none,belted,1,m,19,1999,1986,unavail,pass,0,0
10-24,753.717999994755,alive,none,none,1,m,36,1999,1987,unavail,driver,0,1
25-39,4.49099999997998,alive,airbag,none,1,m,50,1999,1993,deploy,driver,1,3
25-39,95.5259999996051,alive,airbag,belted,1,m,54,1999,1996,deploy,driver,1,0
25-39,95.5259999996051,alive,airbag,belted,1,m,21,1999,1996,deploy,pass,1,2
25-39,201.130999999121,alive,airbag,none,1,m,33,1999,1997,deploy,driver,1,0
25-39,201.130999999121,alive,none,belted,0,m,44,1999,1986,unavail,driver,0,0
25-39,4.49099999997998,alive,none,none,1,m,30,1999,1978,unavail,driver,0,3
10-24,4.49099999997998,alive,none,belted,1,f,21,1999,1983,unavail,driver,0,0
25-39,220.515999998897,alive,none,belted,1,m,73,1999,1992,unavail,driver,0,2
