region,income,infant,oil
Asia,3426,26.7,no
Europe,3350,23.7,no
Europe,3346,17,no
Americas,4751,16.8,no
Europe,5029,13.5,no
Europe,3312,10.1,no
Europe,3403,12.9,no
Europe,5040,20.4,no
Europe,2009,17.8,no
Europe,2298,25.7,no
Europe,3292,11.7,no
Europe,4103,11.6,no
Asia,3723,16.2,no
Europe,4102,11.3,no
Europe,956,44.8,no
Africa,1000,71.5,no
Europe,5596,9.6,no
Europe,2963,12.8,no
Europe,2503,17.5,no
Americas,5523,17.6,no
Africa,400,86.3,yes
Americas,250,78.5,yes
Asia,110,125,yes
Asia,1280,NA,yes
Asia,560,28.1,yes
Africa,3010,300,yes
Africa,220,58,yes
Asia,1530,650,yes
Americas,1240,51.7,yes
Americas,1191,59.6,no
Americas,425,170,no
Americas,590,78,no
Americas,426,62.8,no
Americas,725,54.4,no
Americas,406,48.8,no
Europe,1760,27.8,no
Americas,302,79.1,no
Asia,2526,22.1,no
Americas,727,26.2,no
Asia,631,13.6,no
Asia,295,32,no
Americas,684,60.9,no
Americas,507,46,no
Americas,754,34.1,no
Americas,335,65.1,no
Asia,1268,20.4,no
Europe,1256,15.1,no
Asia,261,19.1,no
Americas,732,26.2,no
Africa,434,76.3,no
Americas,799,40.4,no
Europe,406,43.3,no
Africa,310,259,no
Americas,200,60.4,no
Africa,100,137,no
Africa,281,180,no
Africa,210,114,no
Americas,319,58.2,no
Africa,217,63.7,no
Americas,284,39.3,no
Africa,387,138,no
Asia,334,21.3,no
Asia,344,58,no
Africa,197,159.2,no
Africa,279,149,no
Asia,477,10.2,no
Americas,347,38.6,no
Asia,230,67.9,no
Asia,334,21.7,no
Asia,210,27,no
Asia,435,153,no
Asia,130,100,no
Asia,75,400,no
Asia,100,124.3,no
Asia,73,200,no
Africa,68,150,no
Asia,123,100,no
Africa,122,190,no
Africa,70,160,no
Africa,81,109.6,no
Africa,79,84.2,no
Africa,79,216,no
Americas,100,NA,no
Asia,93,60.6,no
Africa,169,55,no
Asia,71,NA,no
Africa,120,102,no
Africa,130,148.3,no
Africa,50,120,no
Africa,174,187,no
Asia,90,NA,no
Africa,70,200,no
Asia,102,124.3,no
Africa,61,132.9,no
Africa,148,170,no
Africa,85,158,no
Asia,162,45.1,no
Africa,125,129.4,no
Africa,120,162.5,no
Africa,160,127,no
Africa,134,160,no
Africa,82,180,no
Asia,96,80,no
Asia,77,50,no
Africa,118,104,no
